City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Alofi,NU,-19.0595,-169.9187,82.29,74,40,10.36,scattered clouds
80,East London,ZA,-33.0153,27.9116,73.54,82,71,8.32,broken clouds
81,Qaanaaq,GL,77.484,-69.3632,-7.82,89,100,2.95,overcast clouds
82,Biak,ID,-0.9131,122.8766,75.24,85,100,4.79,overcast clouds
83,Saint George,US,37.1041,-113.5841,70.54,17,0,1.99,clear sky
84,Kavaratti,IN,10.5669,72.642,80.55,72,66,5.06,broken clouds
85,Vaini,TO,-21.2,-175.2,80.62,76,77,18.43,light rain
86,Ercis,TR,39.0287,43.3586,17.2,68,100,4.83,overcast clouds
87,Mayumba,GA,-3.432,10.6554,78.31,87,100,4.65,light rain
88,Port Blair,IN,11.6667,92.75,73.44,78,20,2.3,mist
89,Hilo,US,19.7297,-155.09,77.25,75,75,8.05,broken clouds
90,Kalangala,UG,-0.3089,32.225,72.75,69,90,9.37,overcast clouds
91,Haimen,CN,23.1935,116.6142,55.29,91,100,8.03,light rain
92,Christchurch,NZ,-43.5333,172.6333,57.9,89,75,8.05,broken clouds
93,Zhicheng,CN,30.2956,111.5047,40.42,92,40,2.39,scattered clouds
94,Kirakira,SB,-10.4544,161.9205,79.48,84,97,8.48,moderate rain
95,Hobart,AU,-42.8794,147.3294,60.66,82,75,10.36,broken clouds
96,Ancud,CL,-41.8697,-73.8203,79.23,72,24,6.06,few clouds
97,Steamboat Springs,US,40.485,-106.8317,42.3,39,0,11.5,clear sky
98,Guanica,PR,17.9716,-66.908,84.51,62,9,8.99,clear sky
99,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.14,overcast clouds
100,Waddan,LY,29.1614,16.139,55.78,39,0,10.51,clear sky
101,Emerald,AU,-23.5333,148.1667,69.94,83,0,5.75,clear sky
102,Sompeta,IN,18.9333,84.6,65.39,53,31,4.23,scattered clouds
103,Nortelandia,BR,-14.4547,-56.8028,80.17,84,100,1.81,heavy intensity rain
104,Spearfish,US,44.4908,-103.8594,56.01,28,70,20.71,broken clouds
105,Atuona,PF,-9.8,-139.0333,77.54,79,24,14.74,light rain
106,Kruisfontein,ZA,-34.0033,24.7314,65.23,91,16,7.49,few clouds
107,Kagoro,NG,9.6,8.3833,75.06,15,17,5.59,few clouds
108,Punta Arenas,CL,-53.15,-70.9167,50.11,50,40,31.07,scattered clouds
109,Ilulissat,GL,69.2167,-51.1,24.82,54,100,19.57,overcast clouds
110,Alyangula,AU,-13.8483,136.4192,73.27,100,36,2.3,scattered clouds
111,Pangkalanbuun,ID,-2.6833,111.6167,74.68,96,100,2.15,overcast clouds
112,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,0,11.5,clear sky
113,Bol,TD,13.4586,14.7147,76.98,41,2,8.5,clear sky
114,Namibe,AO,-15.1961,12.1522,75.52,80,100,3.24,overcast clouds
115,Sambava,MG,-14.2667,50.1667,76.73,86,49,3.51,moderate rain
116,Aswan,EG,24.0934,32.907,67.3,24,0,10.36,clear sky
117,Mezen,RU,65.8522,44.24,-0.36,99,69,4.29,broken clouds
118,Hithadhoo,MV,-0.6,73.0833,82.15,75,67,9.46,broken clouds
119,Mehamn,NO,71.0357,27.8492,21.38,93,100,16.24,overcast clouds
